[2024-04-25 14:16:19] Query testing started
[2024-04-25 14:18:03] Query 1-3, Iteration 13 started
[2024-04-25 14:18:05] Query 1-3, Iteration 13 finished
[2024-04-25 14:18:05] Query 1-3, Iteration 14 started
[2024-04-25 14:18:07] Query 1-3, Iteration 14 finished
[2024-04-25 14:18:07] Query 1-3, Iteration 15 started
[2024-04-25 14:18:09] Query 1-3, Iteration 15 finished
[2024-04-25 14:18:09] Query 1-3, Iteration 16 started
[2024-04-25 14:18:10] Query 1-3, Iteration 16 finished
[2024-04-25 14:18:10] Query 1-3, Iteration 17 started
[2024-04-25 14:18:12] Query 1-3, Iteration 17 finished
[2024-04-25 14:18:12] Query 1-3, Iteration 18 started
[2024-04-25 14:18:14] Query 1-3, Iteration 18 finished
[2024-04-25 14:18:14] Query 1-3, Iteration 19 started
[2024-04-25 14:18:16] Query 1-3, Iteration 19 finished
[2024-04-25 14:18:16] Query 1-3, Iteration 20 started
[2024-04-25 14:18:17] Query 1-3, Iteration 20 finished
[2024-04-25 14:18:17] Query 1-4, Iteration 1 started
[2024-04-25 14:18:20] Query 1-4, Iteration 1 finished
[2024-04-25 14:18:20] Query 1-4, Iteration 2 started
[2024-04-25 14:18:22] Query 1-4, Iteration 2 finished
[2024-04-25 14:18:22] Query 1-4, Iteration 3 started
[2024-04-25 14:18:24] Query 1-4, Iteration 3 finished
[2024-04-25 14:18:24] Query 1-4, Iteration 4 started
[2024-04-25 14:18:25] Query 1-4, Iteration 4 finished
[2024-04-25 14:18:25] Query 1-4, Iteration 5 started
[2024-04-25 14:18:27] Query 1-4, Iteration 5 finished
[2024-04-25 14:18:27] Query 1-4, Iteration 6 started
[2024-04-25 14:18:28] Query 1-4, Iteration 6 finished
[2024-04-25 14:18:28] Query 1-4, Iteration 7 started
[2024-04-25 14:18:30] Query 1-4, Iteration 7 finished
[2024-04-25 14:18:30] Query 1-4, Iteration 8 started
[2024-04-25 14:18:31] Query 1-4, Iteration 8 finished
[2024-04-25 14:18:31] Query 1-4, Iteration 9 started
[2024-04-25 14:18:33] Query 1-4, Iteration 9 finished
[2024-04-25 14:18:33] Query 1-4, Iteration 10 started
[2024-04-25 14:18:34] Query 1-4, Iteration 10 finished
[2024-04-25 14:18:34] Query 1-4, Iteration 11 started
[2024-04-25 14:18:36] Query 1-4, Iteration 11 finished
[2024-04-25 14:18:36] Query 1-4, Iteration 12 started
