collection,size_in_bytes
contactType,425963523
containsProducts,223100174
createdBy,27185270
customers,18970494
hasInterest,129412296
hasTag,129033049
industryType,41962976
isPerson,24579796
knows,179937268
manufacturedBy,25179976
orderedBy,133751220
orders,37939028
persons,127315602
posts,146607287
products,87569392
tags,46377476
types,0
vendors,55386966

total,1860271793
