db,record_volume,query,iteration,time_in_seconds
sqlite,1024000,3-2,1,26.333
sqlite,1024000,3-2,2,21.047
sqlite,1024000,3-2,3,21.257
sqlite,1024000,3-2,4,20.425
sqlite,1024000,3-2,5,20.624
sqlite,1024000,3-2,6,21.050
sqlite,1024000,3-2,7,21.030
sqlite,1024000,3-2,8,20.753
sqlite,1024000,3-2,9,21.132
sqlite,1024000,3-2,10,20.460
sqlite,1024000,3-2,11,20.616
sqlite,1024000,3-2,12,20.817
sqlite,1024000,3-2,13,21.282
sqlite,1024000,3-2,14,21.094
sqlite,1024000,3-2,15,21.012
sqlite,1024000,3-2,16,21.100
sqlite,1024000,3-2,17,20.252
sqlite,1024000,3-2,18,21.430
sqlite,1024000,3-2,19,20.556
sqlite,1024000,3-2,20,20.376
sqlite,1024000,3-3,1,-1
sqlite,1024000,3-4,1,6.970
sqlite,1024000,3-4,2,3.321
sqlite,1024000,3-4,3,3.557
sqlite,1024000,3-4,4,2.879
sqlite,1024000,3-4,5,3.299
sqlite,1024000,3-4,6,3.208
sqlite,1024000,3-4,7,3.309
sqlite,1024000,3-4,8,3.272
sqlite,1024000,3-4,9,3.638
sqlite,1024000,3-4,10,2.683
sqlite,1024000,3-4,11,3.404
sqlite,1024000,3-4,12,3.595
sqlite,1024000,3-4,13,3.637
sqlite,1024000,3-4,14,3.631
sqlite,1024000,3-4,15,3.231
sqlite,1024000,3-4,16,3.110
sqlite,1024000,3-4,17,2.698
sqlite,1024000,3-4,18,2.683
sqlite,1024000,3-4,19,3.566
sqlite,1024000,3-4,20,3.334
sqlite,1024000,4-1,1,-1
sqlite,1024000,4-2,1,-1
sqlite,1024000,5,1,10.470
sqlite,1024000,5,2,9.541
sqlite,1024000,5,3,9.870
sqlite,1024000,5,4,10.018
sqlite,1024000,5,5,10.488
sqlite,1024000,5,6,10.901
sqlite,1024000,5,7,10.014
sqlite,1024000,5,8,9.644
sqlite,1024000,5,9,9.591
sqlite,1024000,5,10,10.936
sqlite,1024000,5,11,11.125
sqlite,1024000,5,12,9.628
sqlite,1024000,5,13,10.675
sqlite,1024000,5,14,10.187
sqlite,1024000,5,15,9.606
sqlite,1024000,5,16,10.166
sqlite,1024000,5,17,9.796
sqlite,1024000,5,18,10.137
sqlite,1024000,5,19,10.272
sqlite,1024000,5,20,9.924
sqlite,1024000,6,1,28.437
sqlite,1024000,6,2,19.437
sqlite,1024000,6,3,20.357
sqlite,1024000,6,4,20.031
sqlite,1024000,6,5,20.503
sqlite,1024000,6,6,20.480
sqlite,1024000,6,7,20.564
sqlite,1024000,6,8,19.329
sqlite,1024000,6,9,20.334
sqlite,1024000,6,10,19.976
sqlite,1024000,6,11,19.763
sqlite,1024000,6,12,20.006
sqlite,1024000,6,13,19.885
sqlite,1024000,6,14,20.499
sqlite,1024000,6,15,22.274
sqlite,1024000,6,16,20.598
sqlite,1024000,6,17,19.966
sqlite,1024000,6,18,19.522
sqlite,1024000,6,19,20.611
sqlite,1024000,6,20,19.941
sqlite,1024000,7,1,25.457
sqlite,1024000,7,2,23.267
sqlite,1024000,7,3,22.820
sqlite,1024000,7,4,22.163
sqlite,1024000,7,5,21.935
sqlite,1024000,7,6,22.143
sqlite,1024000,7,7,21.849
sqlite,1024000,7,8,23.273
sqlite,1024000,7,9,21.860
sqlite,1024000,7,10,23.340
sqlite,1024000,7,11,22.006
sqlite,1024000,7,12,21.905
sqlite,1024000,7,13,22.486
sqlite,1024000,7,14,22.293
sqlite,1024000,7,15,21.819
sqlite,1024000,7,16,22.382
sqlite,1024000,7,17,21.882
sqlite,1024000,7,18,22.159
sqlite,1024000,7,19,22.261
sqlite,1024000,7,20,21.992
sqlite,1024000,8,1,2.141
sqlite,1024000,8,2,2.202
sqlite,1024000,8,3,2.310
sqlite,1024000,8,4,2.292
sqlite,1024000,8,5,2.298
sqlite,1024000,8,6,2.322
sqlite,1024000,8,7,2.337
sqlite,1024000,8,8,2.337
sqlite,1024000,8,9,2.320
sqlite,1024000,8,10,2.315
sqlite,1024000,8,11,2.340
sqlite,1024000,8,12,2.334
sqlite,1024000,8,13,2.355
sqlite,1024000,8,14,2.326
sqlite,1024000,8,15,2.319
sqlite,1024000,8,16,2.369
sqlite,1024000,8,17,2.362
sqlite,1024000,8,18,2.356
sqlite,1024000,8,19,2.350
sqlite,1024000,8,20,2.340
sqlite,1024000,9-1,1,3.476
sqlite,1024000,9-1,2,3.632
sqlite,1024000,9-1,3,3.628
sqlite,1024000,9-1,4,3.677
sqlite,1024000,9-1,5,3.710
sqlite,1024000,9-1,6,3.242
sqlite,1024000,9-1,7,3.049
sqlite,1024000,9-1,8,3.286
sqlite,1024000,9-1,9,3.125
sqlite,1024000,9-1,10,3.226
sqlite,1024000,9-1,11,2.640
sqlite,1024000,9-1,12,2.830
sqlite,1024000,9-1,13,3.213
sqlite,1024000,9-1,14,3.634
sqlite,1024000,9-1,15,3.555
sqlite,1024000,9-1,16,3.216
sqlite,1024000,9-1,17,2.640
sqlite,1024000,9-1,18,3.616
sqlite,1024000,9-1,19,3.052
sqlite,1024000,9-1,20,2.612
sqlite,1024000,9-2,1,2.070
