db,record_volume,query,iteration,time_in_seconds
mysql,128000,1-1,1,0.5633
mysql,128000,1-1,2,0.0707
mysql,128000,1-1,3,0.0690
mysql,128000,1-1,4,0.0808
mysql,128000,1-1,5,0.0773
mysql,128000,1-1,6,0.0717
mysql,128000,1-1,7,0.0766
mysql,128000,1-1,8,0.0664
mysql,128000,1-1,9,0.0721
mysql,128000,1-1,10,0.0760
mysql,128000,1-1,11,0.0755
mysql,128000,1-1,12,0.0750
mysql,128000,1-1,13,0.0771
mysql,128000,1-1,14,0.0725
mysql,128000,1-1,15,0.0829
mysql,128000,1-1,16,0.0651
mysql,128000,1-1,17,0.0656
mysql,128000,1-1,18,0.0573
mysql,128000,1-1,19,0.0503
mysql,128000,1-1,20,0.0722
mysql,128000,1-2,1,1.0379
mysql,128000,1-2,2,0.1440
mysql,128000,1-2,3,0.1379
mysql,128000,1-2,4,0.1331
mysql,128000,1-2,5,0.1401
mysql,128000,1-2,6,0.1073
mysql,128000,1-2,7,0.1496
mysql,128000,1-2,8,0.1079
mysql,128000,1-2,9,0.1305
mysql,128000,1-2,10,0.1336
mysql,128000,1-2,11,0.1384
mysql,128000,1-2,12,0.1300
mysql,128000,1-2,13,0.1485
mysql,128000,1-2,14,0.1395
mysql,128000,1-2,15,0.1459
mysql,128000,1-2,16,0.1461
mysql,128000,1-2,17,0.1462
mysql,128000,1-2,18,0.1440
mysql,128000,1-2,19,0.1376
mysql,128000,1-2,20,0.1485
mysql,128000,1-3,1,0.0007
mysql,128000,1-3,2,0.0003
mysql,128000,1-3,3,0.0004
mysql,128000,1-3,4,0.0004
mysql,128000,1-3,5,0.0014
mysql,128000,1-3,6,0.0001
mysql,128000,1-3,7,0.0006
mysql,128000,1-3,8,0.0004
mysql,128000,1-3,9,0.0082
mysql,128000,1-3,10,0.0005
mysql,128000,1-3,11,0.0001
mysql,128000,1-3,12,0.0001
mysql,128000,1-3,13,0.0005
mysql,128000,1-3,14,0.0002
mysql,128000,1-3,15,0.0001
mysql,128000,1-3,16,0.0007
mysql,128000,1-3,17,0.0001
mysql,128000,1-3,18,0.0007
mysql,128000,1-3,19,0.0008
mysql,128000,1-3,20,0.0001
mysql,128000,1-4,1,0.1441
mysql,128000,1-4,2,0.1312
mysql,128000,1-4,3,0.1311
mysql,128000,1-4,4,0.1384
mysql,128000,1-4,5,0.1327
mysql,128000,1-4,6,0.1341
mysql,128000,1-4,7,0.1339
mysql,128000,1-4,8,0.1308
mysql,128000,1-4,9,0.1337
mysql,128000,1-4,10,0.1349
mysql,128000,1-4,11,0.1361
mysql,128000,1-4,12,0.1347
mysql,128000,1-4,13,0.1417
mysql,128000,1-4,14,0.1346
mysql,128000,1-4,15,0.1388
mysql,128000,1-4,16,0.1397
mysql,128000,1-4,17,0.1457
mysql,128000,1-4,18,0.1386
mysql,128000,1-4,19,0.1392
mysql,128000,1-4,20,0.1391
mysql,128000,10,1,3.8239
mysql,128000,10,2,2.7550
mysql,128000,10,3,2.2540
mysql,128000,10,4,2.4698
mysql,128000,10,5,2.2900
mysql,128000,10,6,2.1268
mysql,128000,10,7,2.5016
mysql,128000,10,8,2.1005
mysql,128000,10,9,2.5044
mysql,128000,10,10,2.3933
mysql,128000,10,11,1.9944
mysql,128000,10,12,2.3647
mysql,128000,10,13,2.5424
mysql,128000,10,14,2.4941
mysql,128000,10,15,2.4928
mysql,128000,10,16,2.0114
mysql,128000,10,17,2.5444
mysql,128000,10,18,2.4793
mysql,128000,10,19,1.9571
mysql,128000,10,20,2.5619
mysql,128000,11,1,0.4024
mysql,128000,11,2,0.2639
mysql,128000,11,3,0.2507
mysql,128000,11,4,0.2544
mysql,128000,11,5,0.2424
mysql,128000,11,6,0.2425
mysql,128000,11,7,0.2577
mysql,128000,11,8,0.2487
mysql,128000,11,9,0.2407
mysql,128000,11,10,0.2334
mysql,128000,11,11,0.2345
mysql,128000,11,12,0.2495
mysql,128000,11,13,0.2609
mysql,128000,11,14,0.2591
mysql,128000,11,15,0.2440
mysql,128000,11,16,0.2408
mysql,128000,11,17,0.2472
mysql,128000,11,18,0.2489
mysql,128000,11,19,0.2472
mysql,128000,11,20,0.2437
mysql,128000,2-1,1,0.2083
mysql,128000,2-1,2,0.2081
mysql,128000,2-1,3,0.2009
mysql,128000,2-1,4,0.1989
mysql,128000,2-1,5,0.2018
mysql,128000,2-1,6,0.2105
mysql,128000,2-1,7,0.2024
mysql,128000,2-1,8,0.2040
mysql,128000,2-1,9,0.2068
mysql,128000,2-1,10,0.2086
mysql,128000,2-1,11,0.2015
mysql,128000,2-1,12,0.2079
mysql,128000,2-1,13,0.1602
mysql,128000,2-1,14,0.2025
mysql,128000,2-1,15,0.2090
mysql,128000,2-1,16,0.2107
mysql,128000,2-1,17,0.2087
mysql,128000,2-1,18,0.2042
mysql,128000,2-1,19,0.2068
mysql,128000,2-1,20,0.1648
mysql,128000,2-2,1,0.2147
mysql,128000,2-2,2,0.1714
mysql,128000,2-2,3,0.2085
mysql,128000,2-2,4,0.1596
mysql,128000,2-2,5,0.2121
mysql,128000,2-2,6,0.2089
mysql,128000,2-2,7,0.2127
mysql,128000,2-2,8,0.1578
mysql,128000,2-2,9,0.2143
mysql,128000,2-2,10,0.2112
mysql,128000,2-2,11,0.2081
mysql,128000,2-2,12,0.2087
mysql,128000,2-2,13,0.2162
mysql,128000,2-2,14,0.2042
mysql,128000,2-2,15,0.2113
mysql,128000,2-2,16,0.2121
mysql,128000,2-2,17,0.2037
mysql,128000,2-2,18,0.2104
mysql,128000,2-2,19,0.2132
mysql,128000,2-2,20,0.2123
mysql,128000,3-1,1,-1
mysql,128000,3-2,1,3.4520
mysql,128000,3-2,2,3.8948
mysql,128000,3-2,3,1.8228
mysql,128000,3-2,4,1.5917
mysql,128000,3-2,5,2.1294
mysql,128000,3-2,6,2.1438
mysql,128000,3-2,7,2.0561
mysql,128000,3-2,8,2.1366
mysql,128000,3-2,9,2.1469
mysql,128000,3-2,10,1.9797
mysql,128000,3-2,11,2.1406
mysql,128000,3-2,12,1.9111
mysql,128000,3-2,13,2.1508
mysql,128000,3-2,14,2.1636
mysql,128000,3-2,15,2.1187
mysql,128000,3-2,16,2.1062
mysql,128000,3-2,17,2.1652
mysql,128000,3-2,18,2.0395
mysql,128000,3-2,19,2.1225
mysql,128000,3-2,20,2.1454
mysql,128000,3-3,1,10.6941
mysql,128000,3-3,2,10.0276
mysql,128000,3-3,3,9.9352
mysql,128000,3-3,4,9.8226
mysql,128000,3-3,5,9.8455
mysql,128000,3-3,6,9.9468
mysql,128000,3-3,7,9.8676
mysql,128000,3-3,8,9.6057
mysql,128000,3-3,9,9.9203
mysql,128000,3-3,10,9.8347
mysql,128000,3-3,11,10.0569
mysql,128000,3-3,12,10.0683
mysql,128000,3-3,13,10.0175
mysql,128000,3-3,14,9.8607
mysql,128000,3-3,15,10.1035
mysql,128000,3-3,16,10.0035
mysql,128000,3-3,17,10.0498
mysql,128000,3-3,18,9.9921
mysql,128000,3-3,19,10.0990
mysql,128000,3-3,20,10.0309
mysql,128000,3-4,1,1.7090
mysql,128000,3-4,2,0.9612
mysql,128000,3-4,3,0.7122
mysql,128000,3-4,4,0.7710
mysql,128000,3-4,5,0.9108
mysql,128000,3-4,6,0.9354
mysql,128000,3-4,7,0.7308
mysql,128000,3-4,8,0.9660
mysql,128000,3-4,9,0.9494
mysql,128000,3-4,10,0.9415
mysql,128000,3-4,11,0.9612
mysql,128000,3-4,12,0.9637
mysql,128000,3-4,13,0.9489
mysql,128000,3-4,14,0.9399
mysql,128000,3-4,15,0.9541
mysql,128000,3-4,16,0.9625
mysql,128000,3-4,17,0.9430
mysql,128000,3-4,18,0.9594
mysql,128000,3-4,19,0.9379
mysql,128000,3-4,20,0.9366
mysql,128000,4-1,1,-1
mysql,128000,4-2,1,0.0018
mysql,128000,4-2,2,0.0008
mysql,128000,4-2,3,0.0007
mysql,128000,4-2,4,0.0030
mysql,128000,4-2,5,0.0010
mysql,128000,4-2,6,0.0013
mysql,128000,4-2,7,0.0009
mysql,128000,4-2,8,0.0009
mysql,128000,4-2,9,0.0007
mysql,128000,4-2,10,0.0011
mysql,128000,4-2,11,0.0002
mysql,128000,4-2,12,0.0006
mysql,128000,4-2,13,0.0007
mysql,128000,4-2,14,0.0008
mysql,128000,4-2,15,0.0007
mysql,128000,4-2,16,0.0012
mysql,128000,4-2,17,0.0003
mysql,128000,4-2,18,0.0006
mysql,128000,4-2,19,0.0003
mysql,128000,4-2,20,0.0009
mysql,128000,5,1,1.3111
mysql,128000,5,2,1.1466
mysql,128000,5,3,1.4134
mysql,128000,5,4,1.1095
mysql,128000,5,5,1.4051
mysql,128000,5,6,1.1817
mysql,128000,5,7,1.4427
mysql,128000,5,8,1.4046
mysql,128000,5,9,1.4084
mysql,128000,5,10,1.4301
mysql,128000,5,11,1.4542
mysql,128000,5,12,1.5040
mysql,128000,5,13,1.4207
mysql,128000,5,14,1.1831
mysql,128000,5,15,1.4458
mysql,128000,5,16,1.4481
mysql,128000,5,17,1.4458
mysql,128000,5,18,1.1482
mysql,128000,5,19,1.4150
mysql,128000,5,20,1.3375
mysql,128000,6,1,8.9155
mysql,128000,6,2,8.4775
mysql,128000,6,3,7.8408
mysql,128000,6,4,8.5002
mysql,128000,6,5,8.1665
mysql,128000,6,6,8.1289
mysql,128000,6,7,8.5102
mysql,128000,6,8,8.6457
mysql,128000,6,9,8.4607
mysql,128000,6,10,8.2344
mysql,128000,6,11,8.1988
mysql,128000,6,12,8.4595
mysql,128000,6,13,8.5241
mysql,128000,6,14,8.1729
mysql,128000,6,15,8.3367
mysql,128000,6,16,8.3769
mysql,128000,6,17,7.8213
mysql,128000,6,18,7.9458
mysql,128000,6,19,8.8789
mysql,128000,6,20,8.1669
mysql,128000,7,1,5.1275
mysql,128000,7,2,3.7297
mysql,128000,7,3,4.2356
mysql,128000,7,4,4.2212
mysql,128000,7,5,3.7093
mysql,128000,7,6,3.7073
mysql,128000,7,7,3.7256
mysql,128000,7,8,3.7315
