[2024-04-17 18:32:09] Query testing started
[2024-04-17 18:32:09] Query 1-1, Iteration 1 started
[2024-04-17 18:32:11] Query 1-1, Iteration 1 finished
[2024-04-17 18:32:11] Query 1-1, Iteration 2 started
[2024-04-17 18:32:13] Query 1-1, Iteration 2 finished
[2024-04-17 18:32:13] Query 1-1, Iteration 3 started
[2024-04-17 18:32:14] Query 1-1, Iteration 3 finished
[2024-04-17 18:32:14] Query 1-1, Iteration 4 started
[2024-04-17 18:32:16] Query 1-1, Iteration 4 finished
[2024-04-17 18:32:16] Query 1-1, Iteration 5 started
[2024-04-17 18:32:17] Query 1-1, Iteration 5 finished
[2024-04-17 18:32:17] Query 1-1, Iteration 6 started
[2024-04-17 18:32:19] Query 1-1, Iteration 6 finished
[2024-04-17 18:32:19] Query 1-1, Iteration 7 started
[2024-04-17 18:32:20] Query 1-1, Iteration 7 finished
[2024-04-17 18:32:20] Query 1-1, Iteration 8 started
[2024-04-17 18:32:22] Query 1-1, Iteration 8 finished
[2024-04-17 18:32:22] Query 1-1, Iteration 9 started
[2024-04-17 18:32:23] Query 1-1, Iteration 9 finished
[2024-04-17 18:32:23] Query 1-1, Iteration 10 started
[2024-04-17 18:32:25] Query 1-1, Iteration 10 finished
[2024-04-17 18:32:25] Query 1-1, Iteration 11 started
[2024-04-17 18:32:26] Query 1-1, Iteration 11 finished
[2024-04-17 18:32:26] Query 1-1, Iteration 12 started
[2024-04-17 18:32:28] Query 1-1, Iteration 12 finished
[2024-04-17 18:32:28] Query 1-1, Iteration 13 started
[2024-04-17 18:32:29] Query 1-1, Iteration 13 finished
[2024-04-17 18:32:29] Query 1-1, Iteration 14 started
[2024-04-17 18:32:31] Query 1-1, Iteration 14 finished
[2024-04-17 18:32:31] Query 1-1, Iteration 15 started
[2024-04-17 18:32:32] Query 1-1, Iteration 15 finished
[2024-04-17 18:32:32] Query 1-1, Iteration 16 started
[2024-04-17 18:32:33] Query 1-1, Iteration 16 finished
[2024-04-17 18:32:33] Query 1-1, Iteration 17 started
