[2024-04-21 18:54:31] Query testing started
[2024-04-21 18:54:31] Query 1-1, Iteration 1 started
[2024-04-21 18:54:36] Query 1-1, Iteration 1 finished
[2024-04-21 18:54:36] Query 1-1, Iteration 2 started
[2024-04-21 18:54:38] Query 1-1, Iteration 2 finished
[2024-04-21 18:54:38] Query 1-1, Iteration 3 started
[2024-04-21 18:54:40] Query 1-1, Iteration 3 finished
[2024-04-21 18:54:40] Query 1-1, Iteration 4 started
[2024-04-21 18:54:42] Query 1-1, Iteration 4 finished
[2024-04-21 18:54:42] Query 1-1, Iteration 5 started
[2024-04-21 18:54:44] Query 1-1, Iteration 5 finished
[2024-04-21 18:54:44] Query 1-1, Iteration 6 started
[2024-04-21 18:54:46] Query 1-1, Iteration 6 finished
[2024-04-21 18:54:46] Query 1-1, Iteration 7 started
[2024-04-21 18:54:48] Query 1-1, Iteration 7 finished
[2024-04-21 18:54:48] Query 1-1, Iteration 8 started
[2024-04-21 18:54:49] Query 1-1, Iteration 8 finished
[2024-04-21 18:54:49] Query 1-1, Iteration 9 started
[2024-04-21 18:54:51] Query 1-1, Iteration 9 finished
[2024-04-21 18:54:51] Query 1-1, Iteration 10 started
[2024-04-21 18:54:53] Query 1-1, Iteration 10 finished
[2024-04-21 18:54:53] Query 1-1, Iteration 11 started
[2024-04-21 18:54:55] Query 1-1, Iteration 11 finished
[2024-04-21 18:54:55] Query 1-1, Iteration 12 started
[2024-04-21 18:54:57] Query 1-1, Iteration 12 finished
[2024-04-21 18:54:57] Query 1-1, Iteration 13 started
[2024-04-21 18:54:59] Query 1-1, Iteration 13 finished
[2024-04-21 18:54:59] Query 1-1, Iteration 14 started
[2024-04-21 18:55:01] Query 1-1, Iteration 14 finished
[2024-04-21 18:55:01] Query 1-1, Iteration 15 started
[2024-04-21 18:55:03] Query 1-1, Iteration 15 finished
[2024-04-21 18:55:03] Query 1-1, Iteration 16 started
[2024-04-21 18:55:05] Query 1-1, Iteration 16 finished
[2024-04-21 18:55:05] Query 1-1, Iteration 17 started
[2024-04-21 18:55:07] Query 1-1, Iteration 17 finished
[2024-04-21 18:55:07] Query 1-1, Iteration 18 started
[2024-04-21 18:55:08] Query 1-1, Iteration 18 finished
[2024-04-21 18:55:08] Query 1-1, Iteration 19 started
[2024-04-21 18:55:10] Query 1-1, Iteration 19 finished
[2024-04-21 18:55:10] Query 1-1, Iteration 20 started
[2024-04-21 18:55:12] Query 1-1, Iteration 20 finished
[2024-04-21 18:55:12] Query 1-2, Iteration 1 started
[2024-04-21 18:55:15] Query 1-2, Iteration 1 finished
[2024-04-21 18:55:15] Query 1-2, Iteration 2 started
[2024-04-21 18:55:17] Query 1-2, Iteration 2 finished
