db,record_volume,query,iteration,time_in_seconds
neo4j,128000,1-1,1,0.125
neo4j,128000,1-1,2,0.078
neo4j,128000,1-1,3,0.075
neo4j,128000,1-1,4,0.078
neo4j,128000,1-1,5,0.079
neo4j,128000,1-1,6,0.085
neo4j,128000,1-1,7,0.063
neo4j,128000,1-1,8,0.061
neo4j,128000,1-1,9,0.078
neo4j,128000,1-1,10,0.064
neo4j,128000,1-1,11,0.063
neo4j,128000,1-1,12,0.089
neo4j,128000,1-1,13,0.065
neo4j,128000,1-1,14,0.077
neo4j,128000,1-1,15,0.078
neo4j,128000,1-1,16,0.078
neo4j,128000,1-1,17,0.062
neo4j,128000,1-1,18,0.061
neo4j,128000,1-1,19,0.078
neo4j,128000,1-1,20,0.076
neo4j,128000,1-2,1,0.198
neo4j,128000,1-2,2,0.146
neo4j,128000,1-2,3,0.099
neo4j,128000,1-2,4,0.125
neo4j,128000,1-2,5,0.122
neo4j,128000,1-2,6,0.126
neo4j,128000,1-2,7,0.123
neo4j,128000,1-2,8,0.097
neo4j,128000,1-2,9,0.121
neo4j,128000,1-2,10,0.124
neo4j,128000,1-2,11,0.124
neo4j,128000,1-2,12,0.097
neo4j,128000,1-2,13,0.126
neo4j,128000,1-2,14,0.123
neo4j,128000,1-2,15,0.111
neo4j,128000,1-2,16,0.1
neo4j,128000,1-2,17,0.121
neo4j,128000,1-2,18,0.094
neo4j,128000,1-2,19,0.123
neo4j,128000,1-2,20,0.097
neo4j,128000,1-3,1,0.055
neo4j,128000,1-3,2,0.044
neo4j,128000,1-3,3,0.055
neo4j,128000,1-3,4,0.058
neo4j,128000,1-3,5,0.044
neo4j,128000,1-3,6,0.055
neo4j,128000,1-3,7,0.052
neo4j,128000,1-3,8,0.045
neo4j,128000,1-3,9,0.052
neo4j,128000,1-3,10,0.056
neo4j,128000,1-3,11,0.044
neo4j,128000,1-3,12,0.056
neo4j,128000,1-3,13,0.043
neo4j,128000,1-3,14,0.054
neo4j,128000,1-3,15,0.055
neo4j,128000,1-3,16,0.055
neo4j,128000,1-3,17,0.044
neo4j,128000,1-3,18,0.043
neo4j,128000,1-3,19,0.045
neo4j,128000,1-3,20,0.056
neo4j,128000,1-4,1,0.097
neo4j,128000,1-4,2,0.041
neo4j,128000,1-4,3,0.024
neo4j,128000,1-4,4,0.031
neo4j,128000,1-4,5,0.027
neo4j,128000,1-4,6,0.023
neo4j,128000,1-4,7,0.024
neo4j,128000,1-4,8,0.029
neo4j,128000,1-4,9,0.029
neo4j,128000,1-4,10,0.022
neo4j,128000,1-4,11,0.025
neo4j,128000,1-4,12,0.029
neo4j,128000,1-4,13,0.022
neo4j,128000,1-4,14,0.028
neo4j,128000,1-4,15,0.022
neo4j,128000,1-4,16,0.022
neo4j,128000,1-4,17,0.028
neo4j,128000,1-4,18,0.024
neo4j,128000,1-4,19,0.024
neo4j,128000,1-4,20,0.029
neo4j,128000,10,1,1.358
neo4j,128000,10,2,1.254
neo4j,128000,10,3,1.124
neo4j,128000,10,4,1.179
neo4j,128000,10,5,1.137
neo4j,128000,10,6,1.153
neo4j,128000,10,7,1.119
neo4j,128000,10,8,1.173
neo4j,128000,10,9,1.207
neo4j,128000,10,10,1.283
neo4j,128000,10,11,1.134
neo4j,128000,10,12,1.098
neo4j,128000,10,13,1.093
neo4j,128000,10,14,1.202
neo4j,128000,10,15,1.082
neo4j,128000,10,16,1.128
neo4j,128000,10,17,1.26
neo4j,128000,10,18,1.044
neo4j,128000,10,19,1.057
neo4j,128000,10,20,1.062
neo4j,128000,11,1,0.268
neo4j,128000,11,2,0.189
neo4j,128000,11,3,0.177
neo4j,128000,11,4,0.19
neo4j,128000,11,5,0.25
neo4j,128000,11,6,0.195
neo4j,128000,11,7,0.191
neo4j,128000,11,8,0.242
neo4j,128000,11,9,0.235
neo4j,128000,11,10,0.191
neo4j,128000,11,11,0.185
neo4j,128000,11,12,0.189
neo4j,128000,11,13,0.21
neo4j,128000,11,14,0.22
neo4j,128000,11,15,0.179
