db,record_volume,query,iteration,time_in_seconds
neo4j,128000,1-1,1,0.625
neo4j,128000,1-1,2,0.136
neo4j,128000,1-1,3,0.133
neo4j,128000,1-1,4,0.114
neo4j,128000,1-1,5,0.112
neo4j,128000,1-1,6,0.121
neo4j,128000,1-1,7,0.105
neo4j,128000,1-1,8,0.102
neo4j,128000,1-1,9,0.1
neo4j,128000,1-1,10,0.101
neo4j,128000,1-1,11,0.093
neo4j,128000,1-1,12,0.101
neo4j,128000,1-1,13,0.093
neo4j,128000,1-1,14,0.094
neo4j,128000,1-1,15,0.094
neo4j,128000,1-1,16,0.09
neo4j,128000,1-1,17,0.089
neo4j,128000,1-1,18,0.086
neo4j,128000,1-1,19,0.09
neo4j,128000,1-1,20,0.088
neo4j,128000,1-2,1,0.612
neo4j,128000,1-2,2,0.185
neo4j,128000,1-2,3,0.153
neo4j,128000,1-2,4,0.154
neo4j,128000,1-2,5,0.136
neo4j,128000,1-2,6,0.13
neo4j,128000,1-2,7,0.137
neo4j,128000,1-2,8,0.14
neo4j,128000,1-2,9,0.149
neo4j,128000,1-2,10,0.148
neo4j,128000,1-2,11,0.136
neo4j,128000,1-2,12,0.139
neo4j,128000,1-2,13,0.142
neo4j,128000,1-2,14,0.137
neo4j,128000,1-2,15,0.139
neo4j,128000,1-2,16,0.139
neo4j,128000,1-2,17,0.137
neo4j,128000,1-2,18,0.134
neo4j,128000,1-2,19,0.135
neo4j,128000,1-2,20,0.144
neo4j,128000,1-3,1,0.097
neo4j,128000,1-3,2,0.069
neo4j,128000,1-3,3,0.075
neo4j,128000,1-3,4,0.088
neo4j,128000,1-3,5,0.067
neo4j,128000,1-3,6,0.074
neo4j,128000,1-3,7,0.066
neo4j,128000,1-3,8,0.067
neo4j,128000,1-3,9,0.069
neo4j,128000,1-3,10,0.064
neo4j,128000,1-3,11,0.068
neo4j,128000,1-3,12,0.067
neo4j,128000,1-3,13,0.071
neo4j,128000,1-3,14,0.073
neo4j,128000,1-3,15,0.067
neo4j,128000,1-3,16,0.065
neo4j,128000,1-3,17,0.071
neo4j,128000,1-3,18,0.059
neo4j,128000,1-3,19,0.082
neo4j,128000,1-3,20,0.058
neo4j,128000,1-4,1,0.155
neo4j,128000,1-4,2,0.086
neo4j,128000,1-4,3,0.04
neo4j,128000,1-4,4,0.039
neo4j,128000,1-4,5,0.037
neo4j,128000,1-4,6,0.038
neo4j,128000,1-4,7,0.036
neo4j,128000,1-4,8,0.035
neo4j,128000,1-4,9,0.035
neo4j,128000,1-4,10,0.034
neo4j,128000,1-4,11,0.04
neo4j,128000,1-4,12,0.036
neo4j,128000,1-4,13,0.045
neo4j,128000,1-4,14,0.037
neo4j,128000,1-4,15,0.036
neo4j,128000,1-4,16,0.035
neo4j,128000,1-4,17,0.035
neo4j,128000,1-4,18,0.034
neo4j,128000,1-4,19,0.034
neo4j,128000,1-4,20,0.034
