[2024-03-23 18:07:57] Query testing started
[2024-03-23 18:07:57] Query 1-1, Iteration 1 started
[2024-03-23 18:07:59] Query 1-1, Iteration 1 finished
[2024-03-23 18:07:59] Query 1-1, Iteration 2 started
[2024-03-23 18:08:01] Query 1-1, Iteration 2 finished
[2024-03-23 18:08:01] Query 1-1, Iteration 3 started
[2024-03-23 18:08:03] Query 1-1, Iteration 3 finished
[2024-03-23 18:08:03] Query 1-1, Iteration 4 started
[2024-03-23 18:08:05] Query 1-1, Iteration 4 finished
[2024-03-23 18:08:05] Query 1-1, Iteration 5 started
[2024-03-23 18:08:06] Query 1-1, Iteration 5 finished
[2024-03-23 18:08:06] Query 1-1, Iteration 6 started
[2024-03-23 18:08:08] Query 1-1, Iteration 6 finished
[2024-03-23 18:08:08] Query 1-1, Iteration 7 started
[2024-03-23 18:08:10] Query 1-1, Iteration 7 finished
[2024-03-23 18:08:10] Query 1-1, Iteration 8 started
[2024-03-23 18:08:11] Query 1-1, Iteration 8 finished
[2024-03-23 18:08:11] Query 1-1, Iteration 9 started
[2024-03-23 18:08:13] Query 1-1, Iteration 9 finished
[2024-03-23 18:08:13] Query 1-1, Iteration 10 started
[2024-03-23 18:08:15] Query 1-1, Iteration 10 finished
[2024-03-23 18:08:15] Query 1-1, Iteration 11 started
[2024-03-23 18:08:17] Query 1-1, Iteration 11 finished
[2024-03-23 18:08:17] Query 1-1, Iteration 12 started
[2024-03-23 18:08:19] Query 1-1, Iteration 12 finished
[2024-03-23 18:08:19] Query 1-1, Iteration 13 started
[2024-03-23 18:08:21] Query 1-1, Iteration 13 finished
[2024-03-23 18:08:21] Query 1-1, Iteration 14 started
[2024-03-23 18:08:23] Query 1-1, Iteration 14 finished
[2024-03-23 18:08:23] Query 1-1, Iteration 15 started
[2024-03-23 18:08:25] Query 1-1, Iteration 15 finished
[2024-03-23 18:08:25] Query 1-1, Iteration 16 started
[2024-03-23 18:08:27] Query 1-1, Iteration 16 finished
[2024-03-23 18:08:27] Query 1-1, Iteration 17 started
[2024-03-23 18:08:29] Query 1-1, Iteration 17 finished
[2024-03-23 18:08:29] Query 1-1, Iteration 18 started
[2024-03-23 18:08:31] Query 1-1, Iteration 18 finished
[2024-03-23 18:08:31] Query 1-1, Iteration 19 started
[2024-03-23 18:08:33] Query 1-1, Iteration 19 finished
[2024-03-23 18:08:33] Query 1-1, Iteration 20 started
[2024-03-23 18:08:35] Query 1-1, Iteration 20 finished
[2024-03-23 18:08:35] Query 1-2, Iteration 1 started
[2024-03-23 18:08:43] Query 1-2, Iteration 1 finished
[2024-03-23 18:08:43] Query 1-2, Iteration 2 started
[2024-03-23 18:08:50] Query 1-2, Iteration 2 finished
[2024-03-23 18:08:50] Query 1-2, Iteration 3 started
[2024-03-23 18:08:56] Query 1-2, Iteration 3 finished
[2024-03-23 18:08:56] Query 1-2, Iteration 4 started
[2024-03-23 18:09:03] Query 1-2, Iteration 4 finished
[2024-03-23 18:09:03] Query 1-2, Iteration 5 started
[2024-03-23 18:09:09] Query 1-2, Iteration 5 finished
[2024-03-23 18:09:09] Query 1-2, Iteration 6 started
[2024-03-23 18:09:15] Query 1-2, Iteration 6 finished
[2024-03-23 18:09:15] Query 1-2, Iteration 7 started
[2024-03-23 18:09:21] Query 1-2, Iteration 7 finished
[2024-03-23 18:09:21] Query 1-2, Iteration 8 started
[2024-03-23 18:09:27] Query 1-2, Iteration 8 finished
[2024-03-23 18:09:27] Query 1-2, Iteration 9 started
[2024-03-23 18:09:33] Query 1-2, Iteration 9 finished
[2024-03-23 18:09:33] Query 1-2, Iteration 10 started
[2024-03-23 18:09:39] Query 1-2, Iteration 10 finished
[2024-03-23 18:09:39] Query 1-2, Iteration 11 started
[2024-03-23 18:09:46] Query 1-2, Iteration 11 finished
[2024-03-23 18:09:46] Query 1-2, Iteration 12 started
[2024-03-23 18:09:52] Query 1-2, Iteration 12 finished
[2024-03-23 18:09:52] Query 1-2, Iteration 13 started
[2024-03-23 18:09:58] Query 1-2, Iteration 13 finished
[2024-03-23 18:09:58] Query 1-2, Iteration 14 started
[2024-03-23 18:10:05] Query 1-2, Iteration 14 finished
