db,record_volume,query,iteration,time_in_seconds
neo4j,256000,1-1,1,0.169
neo4j,256000,1-1,2,0.146
neo4j,256000,1-1,3,0.163
neo4j,256000,1-1,4,0.143
neo4j,256000,1-1,5,0.15
neo4j,256000,1-1,6,0.155
neo4j,256000,1-1,7,0.152
neo4j,256000,1-1,8,0.144
neo4j,256000,1-1,9,0.15
neo4j,256000,1-1,10,0.15
neo4j,256000,1-1,11,0.151
neo4j,256000,1-1,12,0.155
neo4j,256000,1-1,13,0.159
neo4j,256000,1-1,14,0.148
neo4j,256000,1-1,15,0.164
neo4j,256000,1-1,16,0.152
neo4j,256000,1-1,17,0.153
neo4j,256000,1-1,18,0.149
neo4j,256000,1-1,19,0.149
neo4j,256000,1-1,20,0.143
neo4j,256000,1-2,1,0.414
neo4j,256000,1-2,2,0.355
neo4j,256000,1-2,3,0.33
neo4j,256000,1-2,4,0.34
neo4j,256000,1-2,5,0.294
neo4j,256000,1-2,6,0.27
neo4j,256000,1-2,7,0.284
neo4j,256000,1-2,8,0.291
neo4j,256000,1-2,9,0.269
neo4j,256000,1-2,10,0.29
neo4j,256000,1-2,11,0.306
neo4j,256000,1-2,12,0.299
neo4j,256000,1-2,13,0.299
neo4j,256000,1-2,14,0.3
neo4j,256000,1-2,15,0.314
neo4j,256000,1-2,16,0.273
neo4j,256000,1-2,17,0.28
neo4j,256000,1-2,18,0.302
neo4j,256000,1-2,19,0.296
neo4j,256000,1-2,20,0.301
neo4j,256000,1-3,1,0.02
neo4j,256000,1-3,2,0.018
neo4j,256000,1-3,3,0.022
neo4j,256000,1-3,4,0.021
neo4j,256000,1-3,5,0.018
neo4j,256000,1-3,6,0.019
neo4j,256000,1-3,7,0.019
neo4j,256000,1-3,8,0.021
neo4j,256000,1-3,9,0.019
neo4j,256000,1-3,10,0.018
neo4j,256000,1-3,11,0.016
neo4j,256000,1-3,12,0.02
neo4j,256000,1-3,13,0.021
neo4j,256000,1-3,14,0.022
neo4j,256000,1-3,15,0.017
neo4j,256000,1-3,16,0.017
neo4j,256000,1-3,17,0.02
neo4j,256000,1-3,18,0.017
neo4j,256000,1-3,19,0.016
neo4j,256000,1-3,20,0.019
neo4j,256000,1-4,1,0.301
neo4j,256000,1-4,2,0.199
neo4j,256000,1-4,3,0.203
neo4j,256000,1-4,4,0.185
neo4j,256000,1-4,5,0.196
neo4j,256000,1-4,6,0.189
neo4j,256000,1-4,7,0.191
neo4j,256000,1-4,8,0.195
neo4j,256000,1-4,9,0.194
neo4j,256000,1-4,10,0.17
neo4j,256000,1-4,11,0.18
neo4j,256000,1-4,12,0.193
neo4j,256000,1-4,13,0.188
neo4j,256000,1-4,14,0.203
neo4j,256000,1-4,15,0.194
neo4j,256000,1-4,16,0.193
