[2024-04-21 12:59:46] Query testing started
[2024-04-21T12:59:53.070Z]	Started testing query 1.1
[2024-04-21T12:59:54.459Z]	Finished testing query 1.1
[2024-04-21T12:59:54.614Z]	Started testing query 1.2
[2024-04-21T12:59:55.973Z]	Finished testing query 1.2
[2024-04-21T12:59:55.973Z]	Started testing query 1.3
[2024-04-21T12:59:56.058Z]	Finished testing query 1.3
[2024-04-21T12:59:56.512Z]	Started testing query 1.4
[2024-04-21T12:59:57.833Z]	Finished testing query 1.4
[2024-04-21T12:59:57.834Z]	Started testing query 2.1
[2024-04-21T13:00:00.070Z]	Finished testing query 2.1
[2024-04-21T13:00:00.070Z]	Started testing query 2.2
[2024-04-21T13:00:02.968Z]	Finished testing query 2.2
[2024-04-21T13:00:02.968Z]	Started testing query 3.1
[2024-04-21T13:05:02.975Z]	Timeout reached, killing long running operations...
[2024-04-21T13:05:03.041Z]	Killing opId: 1092340 running for over secs: 300
Uncaught Error: Timeout reached
[2024-04-21T13:05:03.538Z]	MongoServerError: operation was interrupted
[2024-04-21T13:05:03.539Z]	Finished testing query 3.1
[2024-04-21T13:05:03.539Z]	Started testing query 3.2
[2024-04-21T13:05:04.896Z]	Finished testing query 3.2
[2024-04-21T13:05:04.896Z]	Started testing query 3.3
[2024-04-21T13:10:04.900Z]	Timeout reached, killing long running operations...
[2024-04-21T13:10:04.910Z]	Killing opId: 1096348 running for over secs: 300
Uncaught Error: Timeout reached
[2024-04-21T13:10:04.967Z]	MongoServerError: operation was interrupted
[2024-04-21T13:10:04.968Z]	Finished testing query 3.3
[2024-04-21T13:10:04.968Z]	Started testing query 3.4
[2024-04-21T13:11:50.371Z]	Finished testing query 3.4
[2024-04-21T13:11:50.371Z]	Started testing query 4.1
[2024-04-21T13:16:50.380Z]	Timeout reached, killing long running operations...
[2024-04-21T13:16:50.390Z]	Killing opId: 1101674 running for over secs: 300
Uncaught Error: Timeout reached
[2024-04-21T13:16:50.551Z]	MongoServerError: operation was interrupted
[2024-04-21T13:16:50.552Z]	Finished testing query 4.1
[2024-04-21T13:16:50.553Z]	Started testing query 4.2
[2024-04-21T13:57:44.884Z]	Finished testing query 4.2
[2024-04-21T13:57:44.884Z]	Started testing query 5
[2024-04-21T13:57:49.903Z]	Finished testing query 5
[2024-04-21T13:57:49.904Z]	Started testing query 6
[2024-04-21T13:59:10.054Z]	Finished testing query 6
[2024-04-21T13:59:10.055Z]	Started testing query 7
[2024-04-21T13:59:12.760Z]	Finished testing query 7
[2024-04-21T13:59:12.762Z]	Started testing query 8.1
[2024-04-21T14:04:12.771Z]	Timeout reached, killing long running operations...
[2024-04-21T14:04:12.779Z]	Killing opId: 1138590 running for over secs: 300
Uncaught Error: Timeout reached
[2024-04-21T14:04:12.826Z]	MongoServerError: operation was interrupted
[2024-04-21T14:04:12.827Z]	Finished testing query 8.1
[2024-04-21T14:04:12.827Z]	Started testing query 8.2
[2024-04-21T14:04:13.947Z]	Finished testing query 8.2
[2024-04-21T14:04:13.948Z]	Started testing query 9.1
[2024-04-21T14:04:17.992Z]	Finished testing query 9.1
[2024-04-21T14:04:17.992Z]	Started testing query 9.2
[2024-04-21T14:04:20.871Z]	Finished testing query 9.2
[2024-04-21T14:04:20.872Z]	Started testing query 10
[2024-04-21T14:04:51.730Z]	Finished testing query 10
[2024-04-21T14:04:51.731Z]	Started testing query 11
[2024-04-21T14:04:56.547Z]	Finished testing query 11
[2024-04-21 14:04:56] Query testing finished
