[2024-04-01 10:23:22] Query testing started
[2024-04-01 10:27:31] Query 1-3, Iteration 13 started
[2024-04-01 10:27:32] Query 1-3, Iteration 13 finished
[2024-04-01 10:27:32] Query 1-3, Iteration 14 started
[2024-04-01 10:27:34] Query 1-3, Iteration 14 finished
[2024-04-01 10:27:34] Query 1-3, Iteration 15 started
[2024-04-01 10:27:35] Query 1-3, Iteration 15 finished
[2024-04-01 10:27:35] Query 1-3, Iteration 16 started
[2024-04-01 10:27:36] Query 1-3, Iteration 16 finished
[2024-04-01 10:27:36] Query 1-3, Iteration 17 started
[2024-04-01 10:27:38] Query 1-3, Iteration 17 finished
[2024-04-01 10:27:38] Query 1-3, Iteration 18 started
[2024-04-01 10:27:39] Query 1-3, Iteration 18 finished
[2024-04-01 10:27:39] Query 1-3, Iteration 19 started
[2024-04-01 10:27:40] Query 1-3, Iteration 19 finished
[2024-04-01 10:27:40] Query 1-3, Iteration 20 started
[2024-04-01 10:27:42] Query 1-3, Iteration 20 finished
[2024-04-01 10:27:42] Query 1-4, Iteration 1 started
[2024-04-01 10:27:53] Query 1-4, Iteration 1 finished
[2024-04-01 10:27:53] Query 1-4, Iteration 2 started
[2024-04-01 10:28:03] Query 1-4, Iteration 2 finished
[2024-04-01 10:28:03] Query 1-4, Iteration 3 started
[2024-04-01 10:28:13] Query 1-4, Iteration 3 finished
[2024-04-01 10:28:13] Query 1-4, Iteration 4 started
[2024-04-01 10:28:22] Query 1-4, Iteration 4 finished
[2024-04-01 10:28:22] Query 1-4, Iteration 5 started
[2024-04-01 10:28:31] Query 1-4, Iteration 5 finished
[2024-04-01 10:28:31] Query 1-4, Iteration 6 started
[2024-04-01 10:28:41] Query 1-4, Iteration 6 finished
[2024-04-01 10:28:41] Query 1-4, Iteration 7 started
[2024-04-01 10:28:50] Query 1-4, Iteration 7 finished
[2024-04-01 10:28:50] Query 1-4, Iteration 8 started
[2024-04-01 10:28:59] Query 1-4, Iteration 8 finished
[2024-04-01 10:28:59] Query 1-4, Iteration 9 started
[2024-04-01 10:29:09] Query 1-4, Iteration 9 finished
[2024-04-01 10:29:09] Query 1-4, Iteration 10 started
[2024-04-01 10:29:18] Query 1-4, Iteration 10 finished
[2024-04-01 10:29:18] Query 1-4, Iteration 11 started
[2024-04-01 10:29:28] Query 1-4, Iteration 11 finished
[2024-04-01 10:29:28] Query 1-4, Iteration 12 started
[2024-04-01 10:29:37] Query 1-4, Iteration 12 finished
[2024-04-01 10:29:37] Query 1-4, Iteration 13 started
[2024-04-01 10:29:46] Query 1-4, Iteration 13 finished
[2024-04-01 10:29:46] Query 1-4, Iteration 14 started
[2024-04-01 10:29:55] Query 1-4, Iteration 14 finished
[2024-04-01 10:29:55] Query 1-4, Iteration 15 started
[2024-04-01 10:30:04] Query 1-4, Iteration 15 finished
[2024-04-01 10:30:04] Query 1-4, Iteration 16 started
[2024-04-01 10:30:14] Query 1-4, Iteration 16 finished
[2024-04-01 10:30:14] Query 1-4, Iteration 17 started
[2024-04-01 10:30:23] Query 1-4, Iteration 17 finished
[2024-04-01 10:30:23] Query 1-4, Iteration 18 started
[2024-04-01 10:30:32] Query 1-4, Iteration 18 finished
[2024-04-01 10:30:32] Query 1-4, Iteration 19 started
[2024-04-01 10:30:41] Query 1-4, Iteration 19 finished
[2024-04-01 10:30:41] Query 1-4, Iteration 20 started
[2024-04-01 10:30:50] Query 1-4, Iteration 20 finished
[2024-04-01 10:30:50] Query 10, Iteration 1 started
[2024-04-01 10:31:03] Query 10, Iteration 1 finished
[2024-04-01 10:31:03] Query 10, Iteration 2 started
[2024-04-01 10:31:15] Query 10, Iteration 2 finished
[2024-04-01 10:31:15] Query 10, Iteration 3 started
[2024-04-01 10:31:27] Query 10, Iteration 3 finished
