db,record_volume,query,iteration,time_in_seconds
neo4j,512000,1-1,1,0.839
neo4j,512000,1-1,2,0.319
neo4j,512000,1-1,3,0.301
neo4j,512000,1-1,4,0.251
neo4j,512000,1-1,5,0.25
neo4j,512000,1-1,6,0.277
neo4j,512000,1-1,7,0.262
neo4j,512000,1-1,8,0.246
neo4j,512000,1-1,9,0.259
neo4j,512000,1-1,10,0.254
neo4j,512000,1-1,11,0.242
neo4j,512000,1-1,12,0.299
neo4j,512000,1-1,13,0.249
neo4j,512000,1-1,14,0.249
neo4j,512000,1-1,15,0.252
neo4j,512000,1-1,16,0.248
neo4j,512000,1-1,17,0.246
neo4j,512000,1-1,18,0.248
neo4j,512000,1-1,19,0.247
neo4j,512000,1-1,20,0.242
neo4j,512000,1-2,1,0.909
neo4j,512000,1-2,2,0.633
neo4j,512000,1-2,3,0.605
neo4j,512000,1-2,4,0.573
neo4j,512000,1-2,5,0.608
neo4j,512000,1-2,6,0.635
neo4j,512000,1-2,7,0.641
neo4j,512000,1-2,8,0.63
neo4j,512000,1-2,9,0.661
neo4j,512000,1-2,10,0.676
neo4j,512000,1-2,11,0.658
neo4j,512000,1-2,12,0.636
neo4j,512000,1-2,13,0.629
neo4j,512000,1-2,14,0.642
neo4j,512000,1-2,15,0.619
neo4j,512000,1-2,16,0.614
neo4j,512000,1-2,17,0.59
neo4j,512000,1-2,18,0.639
neo4j,512000,1-2,19,0.628
neo4j,512000,1-2,20,0.652
neo4j,512000,1-3,1,0.064
neo4j,512000,1-3,2,0.026
neo4j,512000,1-3,3,0.026
neo4j,512000,1-3,4,0.025
neo4j,512000,1-3,5,0.024
neo4j,512000,1-3,6,0.023
neo4j,512000,1-3,7,0.027
neo4j,512000,1-3,8,0.024
neo4j,512000,1-3,9,0.022
neo4j,512000,1-3,10,0.024
neo4j,512000,1-3,11,0.024
neo4j,512000,1-3,12,0.024
neo4j,512000,1-3,13,0.023
neo4j,512000,1-3,14,0.024
neo4j,512000,1-3,15,0.018
neo4j,512000,1-3,16,0.025
neo4j,512000,1-3,17,0.029
neo4j,512000,1-3,18,0.023
neo4j,512000,1-3,19,0.022
neo4j,512000,1-3,20,0.024
neo4j,512000,1-4,1,0.656
neo4j,512000,1-4,2,0.389
neo4j,512000,1-4,3,0.372
neo4j,512000,1-4,4,0.383
neo4j,512000,1-4,5,0.371
neo4j,512000,1-4,6,0.364
neo4j,512000,1-4,7,0.347
neo4j,512000,1-4,8,0.37
neo4j,512000,1-4,9,0.367
neo4j,512000,1-4,10,0.366
neo4j,512000,1-4,11,0.367
neo4j,512000,1-4,12,0.353
neo4j,512000,1-4,13,0.363
neo4j,512000,1-4,14,0.361
neo4j,512000,1-4,15,0.37
neo4j,512000,1-4,16,0.367
neo4j,512000,1-4,17,0.363
neo4j,512000,1-4,18,0.365
neo4j,512000,1-4,19,0.358
neo4j,512000,1-4,20,0.345
neo4j,512000,10,1,2.022
neo4j,512000,10,2,1.869
neo4j,512000,10,3,1.88
neo4j,512000,10,4,1.814
neo4j,512000,10,5,1.572
neo4j,512000,10,6,1.762
neo4j,512000,10,7,1.61
neo4j,512000,10,8,1.858
neo4j,512000,10,9,1.505
neo4j,512000,10,10,1.485
neo4j,512000,10,11,1.791
neo4j,512000,10,12,1.575
neo4j,512000,10,13,1.627
neo4j,512000,10,14,1.53
neo4j,512000,10,15,1.719
neo4j,512000,10,16,1.774
neo4j,512000,10,17,1.823
neo4j,512000,10,18,1.655
neo4j,512000,10,19,1.518
neo4j,512000,10,20,1.5
neo4j,512000,11,1,0.903
neo4j,512000,11,2,0.942
neo4j,512000,11,3,0.97
neo4j,512000,11,4,0.939
neo4j,512000,11,5,1.094
neo4j,512000,11,6,0.952
neo4j,512000,11,7,0.987
neo4j,512000,11,8,0.98
neo4j,512000,11,9,0.952
neo4j,512000,11,10,0.997
neo4j,512000,11,11,1.045
neo4j,512000,11,12,0.898
neo4j,512000,11,13,0.966
neo4j,512000,11,14,0.867
neo4j,512000,11,15,1.023
neo4j,512000,11,16,0.819
neo4j,512000,11,17,0.97
neo4j,512000,11,18,0.98
neo4j,512000,11,19,0.944
neo4j,512000,11,20,0.961
neo4j,512000,2-1,1,0.407
neo4j,512000,2-1,2,0.357
neo4j,512000,2-1,3,0.37
neo4j,512000,2-1,4,0.393
neo4j,512000,2-1,5,0.367
neo4j,512000,2-1,6,0.337
neo4j,512000,2-1,7,0.368
neo4j,512000,2-1,8,0.296
neo4j,512000,2-1,9,0.369
neo4j,512000,2-1,10,0.372
neo4j,512000,2-1,11,0.293
neo4j,512000,2-1,12,0.295
neo4j,512000,2-1,13,0.374
neo4j,512000,2-1,14,0.306
neo4j,512000,2-1,15,0.295
neo4j,512000,2-1,16,0.363
neo4j,512000,2-1,17,0.362
neo4j,512000,2-1,18,0.366
neo4j,512000,2-1,19,0.363
neo4j,512000,2-1,20,0.344
neo4j,512000,2-2,1,0.638
neo4j,512000,2-2,2,0.624
neo4j,512000,2-2,3,0.62
neo4j,512000,2-2,4,0.493
neo4j,512000,2-2,5,0.625
neo4j,512000,2-2,6,0.618
neo4j,512000,2-2,7,0.599
neo4j,512000,2-2,8,0.622
neo4j,512000,2-2,9,0.587
neo4j,512000,2-2,10,0.492
