[2024-04-21 17:30:21] Query testing started
[2024-04-21 17:30:21] Query 3-2, Iteration 1 started
[2024-04-21 17:33:04] Query 3-2, Iteration 1 finished
[2024-04-21 17:33:04] Query 3-2, Iteration 2 started
[2024-04-21 17:35:48] Query 3-2, Iteration 2 finished
[2024-04-21 17:35:48] Query 3-2, Iteration 3 started
[2024-04-21 17:38:29] Query 3-2, Iteration 3 finished
[2024-04-21 17:38:29] Query 3-2, Iteration 4 started
[2024-04-21 17:41:09] Query 3-2, Iteration 4 finished
[2024-04-21 17:41:09] Query 3-2, Iteration 5 started
[2024-04-21 17:43:50] Query 3-2, Iteration 5 finished
[2024-04-21 17:43:50] Query 3-2, Iteration 6 started
[2024-04-21 17:46:30] Query 3-2, Iteration 6 finished
[2024-04-21 17:46:30] Query 3-2, Iteration 7 started
[2024-04-21 17:49:09] Query 3-2, Iteration 7 finished
[2024-04-21 17:49:09] Query 3-2, Iteration 8 started
[2024-04-21 17:51:52] Query 3-2, Iteration 8 finished
[2024-04-21 17:51:52] Query 3-2, Iteration 9 started
[2024-04-21 17:54:33] Query 3-2, Iteration 9 finished
[2024-04-21 17:54:33] Query 3-2, Iteration 10 started
[2024-04-21 17:57:15] Query 3-2, Iteration 10 finished
[2024-04-21 17:57:15] Query 3-2, Iteration 11 started
[2024-04-21 17:59:51] Query 3-2, Iteration 11 finished
[2024-04-21 17:59:51] Query 3-2, Iteration 12 started
[2024-04-21 18:02:31] Query 3-2, Iteration 12 finished
[2024-04-21 18:02:31] Query 3-2, Iteration 13 started
[2024-04-21 18:05:14] Query 3-2, Iteration 13 finished
[2024-04-21 18:05:14] Query 3-2, Iteration 14 started
[2024-04-21 18:07:54] Query 3-2, Iteration 14 finished
[2024-04-21 18:07:54] Query 3-2, Iteration 15 started
[2024-04-21 18:10:34] Query 3-2, Iteration 15 finished
[2024-04-21 18:10:34] Query 3-2, Iteration 16 started
[2024-04-21 18:13:13] Query 3-2, Iteration 16 finished
[2024-04-21 18:13:13] Query 3-2, Iteration 17 started
[2024-04-21 18:15:57] Query 3-2, Iteration 17 finished
[2024-04-21 18:15:57] Query 3-2, Iteration 18 started
[2024-04-21 18:18:34] Query 3-2, Iteration 18 finished
[2024-04-21 18:18:34] Query 3-2, Iteration 19 started
[2024-04-21 18:21:18] Query 3-2, Iteration 19 finished
[2024-04-21 18:21:18] Query 3-2, Iteration 20 started
[2024-04-21 18:23:57] Query 3-2, Iteration 20 finished
[2024-04-21 18:23:57] Query testing finished
