db,record_volume,query,iteration,time_in_seconds
sqlite,512000,1-1,1,0.063
sqlite,512000,1-1,2,0.065
sqlite,512000,1-1,3,0.069
sqlite,512000,1-1,4,0.068
sqlite,512000,1-1,5,0.062
sqlite,512000,1-1,6,0.062
sqlite,512000,1-1,7,0.068
sqlite,512000,1-1,8,0.061
sqlite,512000,1-1,9,0.062
sqlite,512000,1-1,10,0.065
sqlite,512000,1-1,11,0.062
sqlite,512000,1-1,12,0.062
sqlite,512000,1-1,13,0.068
sqlite,512000,1-1,14,0.061
sqlite,512000,1-1,15,0.061
sqlite,512000,1-1,16,0.086
sqlite,512000,1-1,17,0.063
sqlite,512000,1-1,18,0.069
sqlite,512000,1-1,19,0.062
sqlite,512000,1-1,20,0.061
sqlite,512000,1-2,1,0.212
sqlite,512000,1-2,2,0.210
sqlite,512000,1-2,3,0.211
sqlite,512000,1-2,4,0.206
sqlite,512000,1-2,5,0.207
sqlite,512000,1-2,6,0.209
sqlite,512000,1-2,7,0.208
sqlite,512000,1-2,8,0.210
sqlite,512000,1-2,9,0.208
sqlite,512000,1-2,10,0.214
sqlite,512000,1-2,11,0.209
sqlite,512000,1-2,12,0.206
sqlite,512000,1-2,13,0.206
sqlite,512000,1-2,14,0.208
sqlite,512000,1-2,15,0.208
sqlite,512000,1-2,16,0.205
sqlite,512000,1-2,17,0.211
sqlite,512000,1-2,18,0.207
sqlite,512000,1-2,19,0.208
sqlite,512000,1-2,20,0.209
sqlite,512000,1-3,1,0.001
sqlite,512000,1-3,2,0.000
sqlite,512000,1-3,3,0.000
sqlite,512000,1-3,4,0.000
sqlite,512000,1-3,5,0.000
sqlite,512000,1-3,6,0.001
sqlite,512000,1-3,7,0.001
sqlite,512000,1-3,8,0.001
sqlite,512000,1-3,9,0.001
sqlite,512000,1-3,10,0.000
sqlite,512000,1-3,11,0.000
sqlite,512000,1-3,12,0.000
sqlite,512000,1-3,13,0.000
sqlite,512000,1-3,14,0.001
sqlite,512000,1-3,15,0.001
sqlite,512000,1-3,16,0.000
sqlite,512000,1-3,17,0.000
sqlite,512000,1-3,18,0.001
sqlite,512000,1-3,19,0.000
sqlite,512000,1-3,20,0.000
sqlite,512000,1-4,1,0.314
sqlite,512000,1-4,2,0.319
sqlite,512000,1-4,3,0.323
sqlite,512000,1-4,4,0.322
sqlite,512000,1-4,5,0.315
sqlite,512000,1-4,6,0.315
sqlite,512000,1-4,7,0.317
sqlite,512000,1-4,8,0.315
sqlite,512000,1-4,9,0.319
sqlite,512000,1-4,10,0.320
sqlite,512000,1-4,11,0.360
sqlite,512000,1-4,12,0.340
sqlite,512000,1-4,13,0.309
sqlite,512000,1-4,14,0.313
sqlite,512000,1-4,15,0.315
sqlite,512000,1-4,16,0.312
sqlite,512000,1-4,17,0.310
sqlite,512000,1-4,18,0.318
sqlite,512000,1-4,19,0.317
sqlite,512000,1-4,20,0.327
sqlite,512000,10,1,0.778
